river_name_en,river_name_bn,river_type,origin_source,division_traversed,districts_traversed,length_km_bd,avg_width_m,max_depth_m,mean_discharge_m3s,bwdb_gauging_stations,outfall_tributary_to,transboundary_flag
Padma,পদ্মা,Major River,Gangotri Glacier (Himalayas),Rajshahi / Dhaka / Khulna,Chapainawabganj / Rajshahi / Pabna / Kushtia / Rajbari / Dhaka / Munshiganj / Shariatpur,120,4000-10000,35,30000,"SW91.5 (Hardinge Bridge), SW93.5 (Goalundo)",Meghna River (at Chandpur),Yes (India - Ganges)
Jamuna,যমুনা,Major River,Yarlung Tsangpo (Tibet),Rangpur / Rajshahi / Dhaka,Kurigram / Gaibandha / Bogura / Sirajganj / Tangail / Manikganj,205,3000-12000,40,20000,"SW46.5 (Bahadurabad), SW49 (Sirajganj)",Padma River (at Goalando),Yes (India/China - Brahmaputra)
Meghna (Upper & Lower),মেঘনা,Major River,Barak River (Assam/Manipur),Sylhet / Dhaka / Chattogram / Barishal,Kishoreganj / Brahmanbaria / Narsingdi / Narayanganj / Munshiganj / Chandpur / Lakshmipur / Bhola,264,1000-11000,45,35000,"SW275.5 (Meghna Bridge), SW277 (Chandpur), SW278 (Daulatkhan)",Bay of Bengal,Yes (India - Barak system)
Surma,সুরমা,Major Branch / Network,Barak River Off-take (Amalshid),Sylhet,Sylhet / Sunamganj / Kishoreganj,249,150-300,18,1200,"SW267 (Sylhet), SW269 (Sunamganj)",Meghna River (Confluence with Kushiyara),Yes (India)
Kushiyara,কুশিয়ারা,Major Branch / Network,Barak River Off-take (Amalshid),Sylhet,Sylhet / Moulvibazar / Habiganj / Sunamganj,228,200-400,20,1500,"SW173 (Sherpur), SW175 (Markuli)",Meghna River (Confluence with Surma),Yes (India)
Teesta,তিস্তা,Major Tributary,Pahunri Glacier (Sikkim),Rangpur,Nilphamari / Lalmonirhat / Rangpur / Kurigram,115,300-2000,10,800,"SW291 (Dalia Barrage), SW293 (Kaunia)",Jamuna River (at Chilmari),Yes (India)
Karnaphuli,কর্ণফুলী,Coastal River,Lushai Hills (Mizoram),Chattogram,Rangamati / Chattogram,180,300-800,25,850,"SW119 (Kalurghat), SW120 (Chittagong Sadar)",Bay of Bengal (Patenga),Yes (India)
Gorai,গড়াই,Distributary,Padma River Off-take,Khulna / Dhaka,Kushtia / Jhenaidah / Magura / Rajbari / Faridpur,210,250-800,15,1300,"SW99 (Gorai Railway Bridge), SW101 (Kamarkhali)",Madhumati River / Rupsa-Pasur,No
Sangu,সাঙ্গু,Coastal River,North Arakan Hills (Myanmar),Chattogram,Bandarban / Chattogram,173,150-400,15,450,"SW247 (Bandarban), SW248 (Dohazari)",Bay of Bengal,Yes (Myanmar border area)
Old Brahmaputra,পুরাতন ব্রহ্মপুত্র,Distributary,Jamuna Off-take (Dewanganj),Mymensingh / Dhaka,Jamalpur / Mymensingh / Kishoreganj / Narsingdi,240,100-500,12,600,"SW228 (Mymensingh), SW231 (Bhairab Bazar)",Meghna River (at Bhairab),No
Dharla,ধরলা,Tributary,Himalayan foothills (Bhutan/India),Rangpur,Lalmonirhat / Kurigram,75,150-600,8,400,"SW68 (Kurigram)",Jamuna River,Yes (India/Bhutan - Jaldhaka)
Dudhkumar,দুধকুমার,Tributary,Himalayan foothills (Bhutan/India),Rangpur,Kurigram,50,150-400,7,350,"SW79 (Pateswari)",Jamuna River,Yes (India/Bhutan)
Rupsa-Pasur,রূপসা-পশুর,Estuarine River,Gorai-Madhumati Network,Khulna,Khulna / Bagerhat,140,500-3000,30,4500,"SW241 (Khulna), SW244 (Mongla Port)",Bay of Bengal (Sundarbans),No
Atrai,আত্রাই,Transboundary Tributary,Siliguri (West Bengal),Rangpur / Rajshahi,Panchagarh / Dinajpur / Naogaon / Natore / Pabna,390,100-400,12,350,"SW7 (Naogaon), SW9 (Atrai)",Jamuna River / Chalan Beel,Yes (India)
Halda,হালদা,Tributary (Freshwater Breeding),Badnatali Hill Ranges (Ramgarh),Chattogram,Khagrachari / Chattogram,81,50-150,9,120,"SW119.1 (Panchpukuria)",Karnaphuli River,No
Buriganga,বুড়িগঙ্গা,Distributary / Urban River,Dhaleshwari Off-take,Dhaka,Dhaka / Narayanganj,27,100-300,12,180,"SW42 (Dhaka - Mill Barrack)",Dhaleshwari River,No
